500	358	337	12	28
500	384	366	16	15
1000	512	419	68	53
1500	504	315	106	116
2000	414	110	109	231
2500	363	58	49	295
3000	377	50	22	348
3500	395	52	27	366
4000	385	49	36	346
4500	397	52	58	339
5000	374	49	96	278
5500	325	32	136	189
6000	246	18	131	115
6500	200	18	111	89
7000	176	24	88	88
7500	195	46	84	111
8000	216	68	76	140
8500	245	94	74	171
9000	256	114	64	192
9500	282	138	58	224
10000	291	166	55	236
10500	313	197	51	262
11000	332	225	44	288
11500	350	241	51	299
12000	345	243	50	295
12500	341	256	43	298
13000	352	268	40	312
13500	357	274	42	315
14000	364	278	45	319
14500	339	258	40	299
15000	335	248	49	286
15500	328	252	39	289
16000	320	248	34	286
16500	321	255	28	293
17000	315	250	24	291
17500	325	254	28	297
18000	329	256	33	296
18500	333	251	40	293
19000	329	245	43	286
19500	308	199	69	239
20000	261	163	65	196
20500	237	136	69	168
21000	208	116	68	140
21500	196	112	60	136
22000	199	116	62	137
22500	196	105	70	126
23000	196	112	64	132
23500	214	126	67	147
24000	223	131	71	152
24500	218	131	66	152
25000	216	134	62	154
25500	223	144	65	158
26000	233	153	66	167
26500	231	156	63	168
27000	252	174	66	186
27500	250	175	62	188
28000	252	183	56	196
28500	254	186	54	200
29000	255	185	58	197
29500	265	199	50	215
30000	272	209	43	229
30500	287	229	38	249
31000	291	240	33	258
31500	301	252	31	270
32000	309	263	29	280
32500	307	268	22	285
33000	309	270	19	290
33500	313	274	18	295
34000	309	275	15	294
34500	313	276	14	299
35000	314	283	10	304
35500	317	285	11	306
36000	318	286	10	308
36500	323	291	11	312
37000	330	296	11	319
37500	328	295	11	317
38000	338	302	11	327
38500	326	290	10	316
